,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 22, 2020",MICH,71,PURDU,63,W,-4.0,W,132.5,O
1,"Feb 19, 2020",MICH,60,RUTGR,52,W,-4.0,W,133.0,U
2,"Feb 16, 2020",INDY,65,MICH,89,W,-8.5,W,139.0,O
3,"Feb 12, 2020",MICH,79,NWEST,54,W,5.5,W,137.0,U
4,"Feb 8, 2020",MICHS,68,MICH,77,W,3.0,W,142.5,O
5,"Feb 4, 2020",OHIOS,61,MICH,58,L,-3.0,L,134.0,U
6,"Feb 1, 2020",RUTGR,63,MICH,69,W,-2.0,W,132.5,U
7,"Jan 28, 2020",MICH,79,NEBRS,68,W,4.0,W,146.0,O
8,"Jan 25, 2020",ILL,64,MICH,62,L,-4.5,L,140.5,U
9,"Jan 22, 2020",PENST,72,MICH,63,L,-4.5,L,147.5,U
10,"Jan 17, 2020",MICH,83,IOWA,90,L,-5.5,L,146.5,O
11,"Jan 12, 2020",MICH,67,MINN,75,L,-2.5,L,138.5,O
12,"Jan 9, 2020",PURDU,78,MICH,84,W,-5.5,W,130.5,O
13,"Jan 5, 2020",MICH,69,MICHS,87,L,-9.0,L,145.0,O
14,"Dec 29, 2019",LOWELL,60,MICH,86,W,-23.0,W,147.0,U
15,"Dec 21, 2019",PRESB,44,MICH,86,W,-29.5,W,135.5,U
16,"Dec 14, 2019",OREG,71,MICH,70,L,-3.5,L,138.5,O
17,"Dec 11, 2019",MICH,62,ILL,71,L,-1.5,L,144.5,U
18,"Dec 6, 2019",IOWA,91,MICH,103,W,-7.0,W,143.5,O
19,"Dec 3, 2019",MICH,43,LOUIS,58,L,-6.0,L,138.0,U
20,"Nov 29, 2019",MICH,82,GONZG,64,W,-4.5,W,144.0,O
21,"Nov 28, 2019",MICH,73,UNC,64,W,-3.0,W,147.0,U
22,"Nov 27, 2019",MICH,83,IOWAS,76,W,3.0,W,137.0,O
23,"Nov 22, 2019",HOUBPT,68,MICH,111,W,-24.5,W,153.5,O
24,"Nov 15, 2019",ELON,50,MICH,70,W,-24.0,L,140.0,U
25,"Nov 12, 2019",CREIG,69,MICH,79,W,-5.0,W,154.0,U
26,"Nov 5, 2019",APPST,71,MICH,79,W,-16.5,L,149.0,O
27,"Mar 28, 2019",TEXTK,63,MICH,44,L,-1.5,L,125.0,U
28,"Mar 23, 2019",FLA,49,MICH,64,W,-5.5,W,125.5,U
29,"Mar 21, 2019",MONTA,55,MICH,74,W,-15.0,W,128.5,O
